,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,Villa Carlos Paz,-31.4241,-64.4978,74.93,79,91,0.45,AR,1643067547
78,Amazar,53.858,120.875,-15.07,98,19,1.33,RU,1643067549
79,Nagua,19.3832,-69.8474,78.53,78,20,2.06,DO,1643067550
80,Saint George,37.1041,-113.5841,65.93,25,1,0.45,US,1643067395
81,Lyngseidet,69.5763,20.2189,29.93,92,100,9.76,NO,1643067553
82,Alice Springs,-23.7,133.8833,80.33,61,46,4.12,AU,1643067285
83,Kjøllefjord,70.9457,27.3465,28.13,86,100,16.55,NO,1643067556
84,São Filipe,14.8961,-24.4956,74.93,65,43,2.14,CV,1643067558
85,Nanortalik,60.1432,-45.2371,26.33,74,100,9.21,GL,1643067559
86,Avarua,-21.2078,-159.775,83.93,79,20,4.63,CK,1643067506
87,Aranos,-24.1333,19.1167,73.13,37,41,3.4,NA,1643067562
88,Muros,42.7762,-9.0603,46.13,94,1,2.39,ES,1643067564
89,Hilo,19.7297,-155.09,80.33,62,0,4.12,US,1643067565
90,Hurghada,27.2574,33.8129,55.13,35,0,3.6,EG,1643067567
91,Tateyama,34.9833,139.8667,42.53,60,92,3.23,JP,1643067569
92,Alofi,-19.0595,-169.9187,83.93,74,75,2.57,NU,1643067570
93,Ciudad Bolivar,8.1222,-63.5497,82.13,53,100,5.01,VE,1643067572
94,Tuktoyaktuk,69.4541,-133.0374,11.93,85,75,6.17,CA,1643067573
95,Qaanaaq,77.484,-69.3632,-16.87,70,42,3.55,GL,1643067575
96,Yerbogachën,61.2767,108.0108,-13.27,100,99,1.32,RU,1643067576
97,Cayenne,4.9333,-52.3333,74.93,89,0,1.54,GF,1643067578
98,Garoowe,8.4054,48.4845,62.33,75,17,3.2,SO,1643067579
99,Flinders,-34.5833,150.8552,78.53,73,100,1.79,AU,1643067581
100,Yellowknife,62.456,-114.3525,-13.27,90,20,3.6,CA,1643067471
101,Canary Islands,28.0,-15.5,56.93,88,75,5.66,ES,1643067583
102,Bambous Virieux,-20.3428,57.7575,76.73,65,20,4.63,MU,1643067585
103,Aklavik,68.2191,-135.0107,20.93,85,90,6.17,CA,1643067587
104,Port Blair,11.6667,92.75,69.53,94,20,1.03,IN,1643067588
105,Baruun-Urt,46.6806,113.2792,-6.07,97,88,1.69,MN,1643067589
106,Săcelu,45.1,23.5333,19.13,54,5,1.8,RO,1643067591
107,Hasaki,35.7333,140.8333,33.53,55,28,4.67,JP,1643067593
108,Bodden Town,19.2833,-81.25,76.73,80,20,0.89,KY,1643067594
109,Hermanus,-34.4187,19.2345,69.53,93,17,3.86,ZA,1643067596
110,Recodo,6.9519,121.9636,78.53,94,100,0.51,PH,1643067597
111,Labuhan,-6.8844,112.2051,78.53,84,66,4.34,ID,1643067599
112,Yaan,7.3833,8.5667,78.53,15,2,3.03,NG,1643067600
113,Vila Franca do Campo,37.7167,-25.4333,56.93,81,86,2.72,PT,1643067602
114,São João da Barra,-21.6403,-41.0511,74.93,87,22,5.89,BR,1643067604
115,Adrar,20.5022,-10.0711,67.73,18,100,3.35,MR,1643067606
116,Maniwaki,46.3834,-75.966,6.53,85,100,3.09,CA,1643067455
117,Konëvo,62.1215,39.3192,24.53,92,100,5.58,RU,1643067608
118,East London,-33.0153,27.9116,69.53,83,5,6.57,ZA,1643067463
119,Hofn,64.2539,-15.2082,31.73,81,100,1.5,IS,1643067611
120,Cape Town,-33.9258,18.4232,67.73,85,40,7.2,ZA,1643067536
121,Severo-Kuril'sk,50.6789,156.125,22.73,73,96,3.49,RU,1643067614
122,Winnemucca,40.973,-117.7357,51.53,37,0,2.57,US,1643067615
123,Saint-Philippe,-21.3585,55.7679,74.93,66,72,6.37,RE,1643067617
124,Lemoore,36.3008,-119.7829,64.13,47,1,1.54,US,1643067619
125,Lavrentiya,65.5833,-171.0,-2.47,94,100,3.14,RU,1643067620
126,Morón,-34.6534,-58.6198,80.33,72,100,0.45,AR,1643067324
127,Vardø,70.3705,31.1107,26.33,74,70,12.52,NO,1643067623
128,Călmăţuiu,43.9667,24.8667,15.53,62,89,3.77,RO,1643067625
129,Kalmunai,7.4167,81.8167,71.33,78,93,0.92,LK,1643067626
130,Barrow,71.2906,-156.7887,10.13,85,75,8.75,US,1643067628
131,Kobryn,52.2138,24.3564,24.53,96,98,4.0,BY,1643067630
132,Saskylakh,71.9167,114.0833,-0.67,92,100,5.32,RU,1643067631
133,San Fernando del Valle de Catamarca,-28.4696,-65.7852,78.53,80,75,2.58,AR,1643067551
134,Chanika,-5.4167,38.0167,65.93,84,85,1.08,TZ,1643067634
135,Bluff,-46.6,168.3333,58.73,75,99,6.64,NZ,1643067636
136,Araouane,18.9048,-3.5265,64.13,12,67,4.68,ML,1643067637
137,Cherskiy,68.75,161.3,-33.07,100,100,2.56,RU,1643067639
138,Viesca,25.35,-102.8,64.13,32,75,2.6,MX,1643067641
139,Airai,-8.9266,125.4092,67.73,68,64,1.28,TL,1643067642
140,Korla,41.7597,86.1469,22.73,65,100,1.0,CN,1643067644
141,Komatipoort,-25.4332,31.9548,71.33,95,11,2.14,ZA,1643067645
142,Tocopilla,-22.092,-70.1979,67.73,81,31,2.61,CL,1643067647
143,São Felipe,-14.8167,-41.3833,69.53,79,99,1.65,BR,1643067648
144,Esperance,-33.8667,121.9,65.93,78,46,5.52,AU,1643067650
145,Plettenberg Bay,-34.0527,23.3716,65.93,87,38,2.87,ZA,1643067652
146,Pangody,65.85,74.4859,-0.67,98,90,5.12,RU,1643067653
147,Port Elizabeth,-33.918,25.5701,71.33,94,59,9.26,ZA,1643067459
148,Sept-Îles,50.2001,-66.3821,-11.47,76,40,2.57,CA,1643067656
149,Port-Gentil,-0.7193,8.7815,78.53,84,21,4.56,GA,1643067657
150,Grand Gaube,-20.0064,57.6608,76.73,69,46,0.89,MU,1643067659
151,Nikolskoye,59.7035,30.7861,31.73,94,100,4.93,RU,1643067660
152,Pisco,-13.7,-76.2167,73.13,68,0,9.77,PE,1643067662
153,Castro,-24.7911,-50.0119,69.53,60,48,2.97,BR,1643067664
154,Brainerd,46.358,-94.2008,4.73,51,1,4.12,US,1643067449
155,Grindavik,63.8424,-22.4338,38.93,100,100,13.38,IS,1643067666
156,Oussouye,12.485,-16.5469,76.73,47,72,2.41,SN,1643067668
157,Waingapu,-9.6567,120.2641,82.13,77,54,6.18,ID,1643067669
158,Zorritos,-3.6805,-80.6782,78.53,76,98,5.86,PE,1643067671
159,Iqaluit,63.7506,-68.5145,-22.27,76,75,2.06,CA,1643067672
160,Saint Anthony,45.0205,-93.218,8.33,62,1,1.79,US,1643067674
161,Sabzawār,36.2126,57.6819,33.53,32,8,0.11,IR,1643067675
162,Boende,-0.2167,20.8667,74.93,74,100,1.08,CD,1643067677
163,Nhulunbuy,-12.2333,136.7667,76.73,94,75,3.09,AU,1643067679
164,Zhigansk,66.7697,123.3711,-27.67,100,96,1.76,RU,1643067681
165,Puerto Escondido,15.85,-97.0667,80.33,69,0,3.44,MX,1643067682
166,Kenai,60.5544,-151.2583,38.93,91,100,4.12,US,1643067565
167,Barra de Tecoanapa,16.5167,-98.75,80.33,64,1,3.78,MX,1643067685
168,Codrington,-38.2667,141.9667,85.73,35,63,3.69,AU,1643067687
169,Saint Paul Harbor,57.79,-152.4072,40.73,75,75,1.54,US,1643067688
170,Caravelas,-17.7125,-39.2481,73.13,90,47,2.05,BR,1643067690
171,Augusto Corrêa,-1.0217,-46.635,74.93,85,100,1.48,BR,1643067691
172,Atuona,-9.8,-139.0333,78.53,69,10,7.5,PF,1643067693
173,Gazojak,41.1875,61.4036,24.53,83,4,4.37,TM,1643067695
174,Mikkeli,61.6886,27.2723,31.73,100,40,3.09,FI,1643067696
175,Eilat,29.5581,34.9482,46.13,71,0,6.17,IL,1643067698
176,George Town,5.4112,100.3354,80.33,93,40,0.0,MY,1643067622
177,Henties Bay,-22.116,14.2845,73.13,67,16,0.74,NA,1643067700
178,Atar,20.5169,-13.0499,73.13,15,100,2.28,MR,1643067702
179,Laguna,38.421,-121.4238,64.13,53,0,0.89,US,1643067703
180,Bograd,54.2344,90.8328,-13.27,99,100,1.39,RU,1643067705
181,Ostrovnoy,68.0531,39.5131,22.73,89,93,5.18,RU,1643067706
182,San Cristobal,7.7669,-72.225,74.93,75,46,0.63,VE,1643067708
183,Ashtian,34.5217,50.0019,29.93,67,0,2.56,IR,1643067710
184,Kelheim,48.9167,11.8667,31.73,90,14,0.61,DE,1643067711
185,Llandrindod Wells,52.2416,-3.3787,35.33,93,67,0.53,GB,1643067713
186,Chunoyar,57.4467,97.3217,2.93,98,100,1.31,RU,1643067714
187,Zhezkazgan,47.8043,67.7144,1.13,96,15,3.02,KZ,1643067716
188,Ilulissat,69.2167,-51.1,22.73,50,100,6.17,GL,1643067718
189,Yangi Marg`ilon,40.4272,71.7189,28.13,80,100,3.09,UZ,1643067720
190,Ayan,56.45,138.1667,1.13,81,15,2.97,RU,1643067721
191,Urengoy,65.9667,78.3667,-7.87,100,92,4.25,RU,1643067723
192,Klaksvík,62.2266,-6.589,40.73,72,100,6.61,FO,1643067724
193,Yumen,40.2833,97.2,17.33,45,85,4.54,CN,1643067726
194,Huarmey,-10.0681,-78.1522,73.13,82,65,4.8,PE,1643067728
195,Yenagoa,4.9247,6.2642,76.73,87,21,1.76,NG,1643067730
196,Sabang,5.8933,95.3214,78.53,76,73,1.83,ID,1643067731
197,Ribeira Grande,38.5167,-28.7,58.73,67,99,2.8,PT,1643067733
198,Altagracia de Orituco,9.8601,-66.3814,69.53,80,33,3.05,VE,1643067734
199,Micheweni,-4.9667,39.8333,80.33,71,99,7.68,TZ,1643067736
200,Aloleng,16.1307,119.7824,78.53,81,87,2.51,PH,1643067737
201,Nizhniy Kuranakh,58.8353,125.4869,-2.47,99,98,1.28,RU,1643067739
202,Byron Bay,-28.65,153.6167,78.53,71,84,2.68,AU,1643067375
203,Fomboni,-12.28,43.7425,82.13,78,95,11.54,KM,1643067742
204,Whitehorse,60.7161,-135.0538,33.53,64,75,7.72,CA,1643067593
205,Muroto-misakicho,33.2833,134.15,44.33,67,90,4.8,JP,1643067745
206,Liwale,-9.7667,37.9333,67.73,98,100,2.35,TZ,1643067746
207,Homer,59.6425,-151.5483,40.73,80,40,4.51,US,1643067748
208,Pāsighāt,28.0667,95.3333,51.53,93,32,1.01,IN,1643067749
209,Bereket,39.2446,55.5154,37.13,60,0,4.48,TM,1643067751
210,Acapulco de Juárez,16.8634,-99.8901,82.13,69,75,3.6,MX,1643067677
211,Kostomuksha,64.571,30.5767,28.13,91,78,5.72,RU,1643067754
212,Ahipara,-35.1667,173.1667,69.53,96,99,4.08,NZ,1643067755
213,Verāval,20.9,70.3667,58.73,49,0,4.25,IN,1643067757
214,Ponta do Sol,32.6667,-17.1,62.33,56,71,4.23,PT,1643067758
215,Oliveira dos Brejinhos,-12.3169,-42.8961,73.13,70,99,1.04,BR,1643067760
216,Beira,-19.8436,34.8389,78.53,90,100,11.1,MZ,1643067762
217,Khovd,48.0056,91.6419,-6.07,71,16,2.72,MN,1643067763
218,San Patricio,28.017,-97.5169,53.33,83,100,4.0,US,1643067765
219,Vao,-22.6667,167.4833,76.73,68,57,2.89,NC,1643067766
220,Bilibino,68.0546,166.4372,-45.67,100,94,0.81,RU,1643067768
221,Bubaque,11.2833,-15.8333,78.53,62,84,5.65,GW,1643067769
222,Mogadishu,2.0371,45.3438,74.93,76,27,9.48,SO,1643067771
223,Hearst,49.6835,-83.6665,-15.07,98,100,1.86,CA,1643067773
224,Hirara,24.8,125.2833,67.73,77,75,3.6,JP,1643067774
225,Cockburn Town,21.4612,-71.1419,76.73,70,0,2.52,TC,1643067776
226,Muisne,0.6,-80.0333,76.73,88,99,3.89,EC,1643067777
227,Vila Velha,-20.3297,-40.2925,78.53,85,20,2.57,BR,1643067778
228,Norman Wells,65.282,-126.8329,11.93,85,75,2.57,CA,1643067780
229,Port Hedland,-20.3167,118.5667,85.73,79,32,4.12,AU,1643067781
230,Daru,-9.0763,143.2092,76.73,91,100,3.89,PG,1643067783
231,Porto Velho,-8.7619,-63.9039,76.73,94,40,1.54,BR,1643067784
232,Kathmandu,27.7167,85.3167,42.53,93,20,1.03,NP,1643067542
233,San Andrés,12.5847,-81.7006,82.13,69,40,5.14,CO,1643067787
234,Faanui,-16.4833,-151.75,80.33,73,100,3.7,PF,1643067789
235,Lamar,33.6668,-95.5836,55.13,54,75,3.09,US,1643067791
236,Tsumeb,-19.2333,17.7167,58.73,35,64,3.7,NA,1643067792
237,Okha,53.5739,142.9478,-7.87,97,45,4.81,RU,1643067794
238,Buluang,13.3068,123.3425,76.73,88,64,2.36,PH,1643067795
239,Māndal,25.45,74.5667,47.93,66,0,1.51,IN,1643067797
240,Kingaroy,-26.5333,151.8333,74.93,64,100,2.06,AU,1643067798
241,Sistranda,63.7256,8.834,35.33,61,100,14.15,NO,1643067800
242,Tiarei,-17.5333,-149.3333,85.73,80,100,4.57,PF,1643067801
243,Tabou,4.423,-7.3528,76.73,85,31,1.55,CI,1643067804
244,Filingué,14.3521,3.3168,64.13,17,0,5.05,NE,1643067805
245,Praia da Vitória,38.7333,-27.0667,55.13,94,20,2.83,PT,1643067807
246,Erzin,36.9559,36.2,31.73,77,53,1.9,TR,1643067808
247,Ōfunato,39.0717,141.7167,22.73,58,71,1.33,JP,1643067810
248,Nanlong,31.3533,106.0631,44.33,90,100,1.9,CN,1643067811
249,Buraidah,26.326,43.975,51.53,32,0,3.58,SA,1643067813
250,Cabedelo,-6.9811,-34.8339,80.33,74,47,4.84,BR,1643067814
251,Berdigestyakh,62.0989,126.6992,-2.47,96,100,2.87,RU,1643067816
252,Bluefield,37.2698,-81.2223,37.13,56,40,3.6,US,1643067817
253,Tual,-5.6667,132.75,82.13,79,95,5.93,ID,1643067819
254,Lompoc,34.6391,-120.4579,69.53,55,0,7.2,US,1643067820
255,Vostok,46.4856,135.8833,-2.47,95,63,0.96,RU,1643067822
256,Hastings,50.8552,0.5729,38.93,81,16,2.78,GB,1643067587
257,Bud,39.447,-86.1758,37.13,89,100,5.39,US,1643067825
258,Zemio,5.0314,25.1361,71.33,34,75,1.68,CF,1643067826
259,Gelemso,8.8167,40.5167,56.93,51,83,2.62,ET,1643067828
260,Caconda,-13.7333,15.0667,58.73,87,94,1.61,AO,1643067829
261,Rawson,-43.3002,-65.1023,76.73,29,28,3.91,AR,1643067831
262,Mount Gambier,-37.8333,140.7667,91.13,21,53,7.2,AU,1643067832
263,Sobolevo,54.4299,31.8996,-0.67,100,96,2.85,RU,1643067834
264,Sarangani,5.4033,125.4636,80.33,76,100,4.09,PH,1643067835
265,Baharly,38.4362,57.4316,38.93,41,0,1.99,TM,1643067837
266,Nelson Bay,-32.7167,152.15,78.53,70,83,0.45,AU,1643067838
267,Gijón,43.5357,-5.6615,46.13,92,0,2.24,ES,1643067840
268,Khvorostyanka,52.6096,48.9597,-2.47,98,88,2.08,RU,1643067841
269,Kita,13.0349,-9.4895,71.33,12,61,3.23,ML,1643067843
270,Linxia Chengguanzhen,35.6003,103.2064,22.73,74,97,1.23,CN,1643067844
271,Lüderitz,-26.6481,15.1594,74.93,63,4,7.08,NA,1643067846
272,Solnechnyy,50.7214,136.6319,-6.07,94,23,0.97,RU,1643067847
273,College,64.8569,-147.8028,40.73,70,75,1.54,US,1643067849
274,Gari,59.4307,62.3497,17.33,94,88,5.22,RU,1643067850
275,Pevek,69.7008,170.3133,-16.87,98,100,2.95,RU,1643067852
276,Bestöbe,52.4994,73.0975,-2.47,95,78,3.31,KZ,1643067854
277,Nantucket,41.2835,-70.0995,29.93,73,20,0.0,US,1643067855
278,Mossamedes,-15.1961,12.1522,74.93,81,44,1.51,AO,1643067857
279,Twin Falls,42.3505,-114.6445,22.73,93,100,3.09,US,1643067858
280,Kovdor,67.5662,30.4758,19.13,84,69,4.23,RU,1643067860
281,Shiraz,29.6036,52.5388,37.13,56,0,0.0,IR,1643067610
282,Arrondissement de Bar-le-Duc,48.75,5.1667,35.33,81,0,1.55,FR,1643067863
283,San Francisco Menéndez,13.8431,-90.0158,92.93,69,7,1.69,SV,1643067864
284,Pyapon,16.2833,95.6833,65.93,78,1,2.13,MM,1643067866
285,Chumikan,54.7183,135.315,-6.07,90,29,8.07,RU,1643067868
286,Hobyo,5.3505,48.5268,74.93,71,65,9.79,SO,1643067869
287,Zapolyarnyy,69.4154,30.8136,20.93,84,33,10.23,RU,1643067870
288,Paso de Carrasco,-34.8603,-56.0522,74.93,88,0,4.63,UY,1643067872
289,Tallinn,59.437,24.7535,35.33,88,40,3.09,EE,1643067738
290,Pachino,36.7186,15.0907,42.53,62,86,8.68,IT,1643067875
291,Kruisfontein,-34.0033,24.7314,69.53,88,82,4.56,ZA,1643067876
292,Geraldton,-28.7667,114.6,69.53,49,1,8.75,AU,1643067878
293,Khatanga,71.9667,102.5,8.33,93,100,8.28,RU,1643067880
294,Ust'-Omchug,61.15,149.6333,-38.47,100,90,0.82,RU,1643067881
295,Jalu,29.0331,21.5482,49.73,67,11,3.39,LY,1643067883
296,Najrān,17.4924,44.1277,55.13,39,0,1.16,SA,1643067884
297,Braniewo,54.3797,19.8196,35.33,93,100,6.86,PL,1643067886
298,Anadyr,64.75,177.4833,-24.07,76,20,3.0,RU,1643067887
299,Rosetta,31.4044,30.4164,53.33,68,11,6.55,EG,1643067889
300,Togur,58.3631,82.8265,-0.67,98,94,1.52,RU,1643067890
301,Lishu,43.3047,124.3278,10.13,72,11,1.44,CN,1643067892
302,Ozinki,51.1786,49.6769,6.53,91,100,3.29,RU,1643067893
303,North Bend,43.4065,-124.2243,58.73,63,0,4.63,US,1643067895
304,Khorixas,-20.3667,14.9667,78.53,42,80,2.32,NA,1643067896
305,Ambositra,-20.5167,47.25,62.33,98,100,3.62,MG,1643067898
306,Antofagasta,-23.65,-70.4,64.13,83,23,2.85,CL,1643067899
307,Athabasca,54.7169,-113.2854,17.33,97,100,1.51,CA,1643067901
308,Kizema,61.113,44.8302,19.13,86,100,5.71,RU,1643067902
309,Dunedin,-45.8742,170.5036,58.73,72,21,1.34,NZ,1643067904
310,Provideniya,64.3833,-173.3,8.33,72,75,4.0,RU,1643067905
311,Hlotse,-28.8718,28.045,58.73,57,48,0.62,LS,1643067907
312,Isangel,-19.55,169.2667,87.53,74,75,4.0,VU,1643067908
313,Pouembout,-21.1333,164.9,83.93,59,13,3.26,NC,1643067910
314,Gouyave,12.1646,-61.7296,76.73,73,20,9.77,GD,1643067912
315,Isla Mujeres,21.2311,-86.731,74.93,71,39,4.35,MX,1643067913
316,Perth,-31.9333,115.8333,65.93,70,75,3.6,AU,1643067797
317,Kununurra,-15.7667,128.7333,78.53,94,100,2.06,AU,1643067916
318,West Bay,19.3667,-81.4167,76.73,78,20,0.45,KY,1643067917
319,Ust-Nera,64.5667,143.2,-29.47,98,100,1.51,RU,1643067920
320,Ţahţā,26.7693,31.5021,46.13,49,51,2.88,EG,1643067922
321,Te Anau,-45.4167,167.7167,64.13,52,73,1.12,NZ,1643067923
322,Harper,4.375,-7.7169,76.73,84,26,1.66,LR,1643067925
323,Qian’an,44.9932,124.0581,1.13,94,99,0.8,CN,1643067926
324,Talnakh,69.4865,88.3972,-6.07,97,98,4.87,RU,1643067928
325,Manta,-0.95,-80.7333,80.33,69,100,5.14,EC,1643067929
326,Saint-Ambroise,48.5501,-71.3324,2.93,71,100,1.03,CA,1643067931
327,Båtsfjord,70.6345,29.7185,26.33,88,99,13.1,NO,1643067932
328,Marrakesh,31.6315,-8.0083,53.33,82,40,3.09,MA,1643067934
329,Artigas,-30.4,-56.4667,76.73,79,55,5.48,UY,1643067935
330,Pavullo nel Frignano,44.3315,10.835,35.33,90,10,0.67,IT,1643067937
331,Sakakah,29.9697,40.2064,42.53,51,46,2.47,SA,1643067938
332,Kaitangata,-46.2817,169.8464,62.33,58,62,2.44,NZ,1643067940
333,Escada,-8.3592,-35.2236,80.33,82,65,1.48,BR,1643067941
334,Angren,41.0167,70.1436,28.13,51,96,1.89,UZ,1643067943
335,Cayambe,0.05,-78.1333,55.13,96,100,1.14,EC,1643067944
336,Yerofey Pavlovich,53.9667,121.9667,-15.07,98,16,1.13,RU,1643067946
337,Zhob,31.3411,69.4481,33.53,51,0,1.12,PK,1643067948
338,Arrondissement de Pontarlier,46.8333,6.25,28.13,86,2,1.75,FR,1643067949
339,Olden,61.8364,6.8064,38.93,98,100,3.04,NO,1643067951
340,Murmashi,68.8154,32.8115,26.33,68,0,3.13,RU,1643067952
341,Lebu,-37.6167,-73.65,58.73,79,1,7.85,CL,1643067954
342,Miracatu,-24.2814,-47.4597,73.13,98,33,1.08,BR,1643067955
343,Kavieng,-2.5744,150.7967,83.93,69,64,2.46,PG,1643067957
344,Mahina,-17.5065,-149.489,85.73,70,75,7.2,PF,1643067959
345,Maragogi,-9.0122,-35.2225,78.53,74,93,3.66,BR,1643067960
346,Brae,60.3964,-1.353,44.33,72,53,4.31,GB,1643067961
347,Gold Coast,-28.0,153.4333,83.93,75,40,0.45,AU,1643067691
348,Taoudenni,22.6783,-3.9836,67.73,18,93,3.79,ML,1643067964
349,Salalah,17.0151,54.0924,69.53,32,0,4.12,OM,1643067966
350,Assiniboia,49.6334,-105.9845,10.13,71,79,2.57,CA,1643067967
351,Salta,-24.7859,-65.4117,73.13,84,75,0.45,AR,1643067969
352,Pangnirtung,66.1451,-65.7125,6.53,92,90,5.14,CA,1643067971
353,Brattvåg,62.6002,6.4434,38.93,65,100,7.72,NO,1643067972
354,Dehlorān,32.6941,47.2679,53.33,37,0,1.64,IR,1643067901
